rank,bgg_id,name,year_published,min_players,max_players,min_playtime_minutes,max_playtime_minutes,minimum_age,average_rating,bayes_average,users_rated,average_weight,versions_count,videos_count,image_url,bgg_url
37,192135,Too Many Bones,2017,1,4,60,120,12,8.27946,7.84881,17433,3.871,15,15,https://cf.geekdo-images.com/wKwRk0wYBcrtLAfgn4PCdg__original/img/Wpp0vzsVe4HxXGUqiZ1hDvwAHZU=/0x0/filters:format(png)/pic6624445.png,https://boardgamegeek.com/boardgame/192135
38,266192,Wingspan,2019,1,5,40,70,10,7.99474,7.84126,115051,2.4811,46,15,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__original/img/cI782Zis9cT66j2MjSHKJGnFPNw=/0x0/filters:format(jpeg)/pic4458123.jpg,https://boardgamegeek.com/boardgame/266192
39,96848,Mage Knight Board Game,2011,1,4,60,240,14,8.08141,7.83651,35354,4.3785,19,15,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__original/img/PDDH38Vf9NEB_4ODURxcJKNBfVQ=/0x0/filters:format(jpeg)/pic1083380.jpg,https://boardgamegeek.com/boardgame/96848
40,251247,Barrage,2019,1,4,90,180,14,8.13187,7.83549,22165,4.1148,18,15,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__original/img/rkHKwkUqpQC7PAGG7n2gbrcQiUY=/0x0/filters:format(png)/pic4336469.png,https://boardgamegeek.com/boardgame/251247
41,321608,Hegemony: Lead Your Class to Victory,2023,2,4,90,180,14,8.35817,7.82857,12758,4.2566,5,15,https://cf.geekdo-images.com/DCLgJlrvB-EqL6A3WgQLMQ__original/img/vGpYcxjDBCOVcI0BcWOevspTQMQ=/0x0/filters:format(jpeg)/pic5715770.jpg,https://boardgamegeek.com/boardgame/321608
42,284378,Kanban EV,2020,1,4,60,180,14,8.37453,7.81163,10571,4.2919,14,15,https://cf.geekdo-images.com/L2Wn-zUqkcHgqvwvY212Ig__original/img/Htra4hvxjBlejtNEIUns_B3CNNc=/0x0/filters:format(jpeg)/pic4924232.jpg,https://boardgamegeek.com/boardgame/284378
43,183394,Viticulture Essential Edition,2015,1,6,45,90,13,7.95445,7.803,55843,2.9029,20,15,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__original/img/gDL7OZFlzoOFgU0VYlREs8P5hCQ=/0x0/filters:format(jpeg)/pic6500949.jpg,https://boardgamegeek.com/boardgame/183394
44,324856,The Crew: Mission Deep Sea,2021,2,5,20,20,10,8.03999,7.80223,26419,2.0522,18,15,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__original/img/jGWxczXC_VWZofeAmlO_DkB0hCI=/0x0/filters:format(jpeg)/pic5988903.jpg,https://boardgamegeek.com/boardgame/324856
45,521,Crokinole,1876,2,4,30,30,8,8.06746,7.80176,21445,1.2302,47,15,https://cf.geekdo-images.com/DOwZ7_Q1w68iBhARcDAxig__original/img/0E7UQ_sXErRusbZVixlIiN8MIJQ=/0x0/filters:format(jpeg)/pic8549797.jpg,https://boardgamegeek.com/boardgame/521
46,199792,Everdell,2018,1,4,40,80,10,7.97437,7.7999,69807,2.8341,36,15,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__original/img/HQ1ti16wT9lqja5_h3gUfHUIcVI=/0x0/filters:format(png)/pic3918905.png,https://boardgamegeek.com/boardgame/199792
47,366013,Heat: Pedal to the Metal,2022,1,6,30,60,10,7.99208,7.79433,42847,2.2019,22,15,https://cf.geekdo-images.com/-vOrd4bOspibyohYExLqWg__original/img/iXU8a9WaVlwrkiEiOxWN06y9y5g=/0x0/filters:format(png)/pic6940449.png,https://boardgamegeek.com/boardgame/366013
48,365717,Clank!: Catacombs,2022,2,4,45,90,13,8.22755,7.78825,15043,2.4955,15,15,https://cf.geekdo-images.com/cCLn9Mvb7jRSaZzHeUXhoQ__original/img/NK4hsA9nc-kdI07hR0Nc23dL_bk=/0x0/filters:format(jpeg)/pic6937913.jpg,https://boardgamegeek.com/boardgame/365717
49,285774,Marvel Champions: The Card Game,2019,1,4,45,90,14,8.10382,7.78675,28212,2.964,10,15,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__original/img/cqng0e4S7Cj6j6Sb49-OCggGi-8=/0x0/filters:format(jpeg)/pic4900321.jpg,https://boardgamegeek.com/boardgame/285774
50,390092,Ticket to Ride Legacy: Legends of the West,2023,2,5,20,90,10,8.61163,7.78509,7112,2.5608,18,15,https://cf.geekdo-images.com/2H0pJddVJA3r6btqRNLG1g__original/img/q8N6sz7FIZkbXe_0d4RiIfM8aNU=/0x0/filters:format(png)/pic7541330.png,https://boardgamegeek.com/boardgame/390092
